n_features,features,condition_no,rsquared,rsquared_adj,pvals,rmse,delta_rmse
1,['bedrooms'],14.516798836349924,0.12311182347249565,0.1230610647053721,[0.0],0.10735813873894966,0.0023690620909719794
1,['bathrooms'],7.7664537069252475,0.30379232018393015,0.30375202012537217,[0.0],0.0956595703215563,0.001763832830605852
1,['sqft_living'],10.26365157412231,0.4552909082419676,0.45525937769767,[0.0],0.08461399766273019,0.001682632138358503
1,['grade'],52.01301654029119,0.4951766976660979,0.49514747591718755,[0.0],0.08145720304709997,0.0021754913043353337
2,"['bedrooms', 'grade']",57.98753239976308,0.5052002296415538,0.5051429432544287,"[2.225378772823969e-70, 0.0]",0.0806443994850455,0.0023243940681708457
2,"['bathrooms', 'grade']",57.09565056934658,0.507497812730705,0.5074407923491125,"[1.1345106193345562e-87, 0.0]",0.08045697028350193,0.0021161489980030175
2,"['sqft_living', 'grade']",100.46148667536445,0.5466941558612655,0.5466416735126044,"[0.0, 0.0]",0.0771886568815063,0.0024168409032044786
2,"['sqft_living', 'lat']",12.043945444969772,0.6342252653680881,0.6341829171023508,"[0.0, 0.0]",0.06933718283565424,0.002123134919138131
3,"['bedrooms', 'sqft_living', 'lat']",41.66067633294108,0.6411545677132959,0.6410922450875747,"[4.700659951473816e-68, 0.0, 0.0]",0.06867718518067503,0.0022023153420867164
3,"['bedrooms', 'grade', 'lat']",63.05890489847134,0.647886263551217,0.647825110050769,"[7.471013756657249e-135, 0.0, 0.0]",0.06803031319728886,0.0017796580224096192
3,"['bathrooms', 'grade', 'lat']",60.791462501294085,0.6518374662104033,0.6517769989334795,"[5.20041959900908e-189, 0.0, 0.0]",0.06764741735891103,0.001320954023023746
3,"['sqft_living', 'view', 'lat']",12.433505800771767,0.664314985492905,0.6642566852607473,"[0.0, 7.890955576931029e-306, 0.0]",0.06642381220181007,0.0016296950431914398
3,"['sqft_living', 'grade', 'lat']",100.91414753517249,0.6970922911815054,0.6970396835629048,"[0.0, 0.0, 0.0]",0.06309748107130446,0.0022482294544574886
4,"['bedrooms', 'sqft_living', 'grade', 'lat']",137.23779671684446,0.698158077439903,0.6980881767031601,"[1.6132120718959505e-14, 0.0, 0.0, 0.0]",0.0629863446899813,0.0022582492082219283
4,"['bathrooms', 'grade', 'yr_built', 'lat']",61.57184807493868,0.7080693276956656,0.7080017222035924,"[0.0, 0.0, 0.0, 0.0]",0.061944171314479754,0.0013053672974450356
4,"['sqft_living', 'waterfront', 'grade', 'lat']",101.20289774714703,0.7102673276292552,0.7102002311558102,"[0.0, 9.698227872106209e-147, 0.0, 0.0]",0.061709739580676624,0.0022404467541191518
4,"['sqft_living', 'view', 'grade', 'lat']",101.28237466629623,0.7199780094103951,0.7199131617460035,"[0.0, 2.3070594573786265e-281, 0.0, 0.0]",0.060666687508889636,0.0020752204535389685
4,"['sqft_living', 'grade', 'yr_built', 'lat']",101.25712083182262,0.7323112838668063,0.7322492923451527,"[0.0, 0.0, 0.0, 0.0]",0.05931658064081171,0.001437616353294305
5,"['bedrooms', 'sqft_living', 'grade', 'yr_built', 'lat']",137.67371625928996,0.7337878163229927,0.7337107498797429,"[5.799644964963295e-22, 0.0, 0.0, 0.0, 0.0]",0.059152734818759226,0.0014366024120415321
5,"['bathrooms', 'sqft_living', 'grade', 'yr_built', 'lat']",125.86261488668917,0.7376360609982167,0.7375601085936545,"[1.3909367958072582e-73, 0.0, 0.0, 0.0, 0.0]",0.05872361467331757,0.0015212956269426258
5,"['sqft_living', 'waterfront', 'grade', 'yr_built', 'lat']",101.60176222040099,0.7424752012384317,0.7424006497235582,"[0.0, 3.280113183971157e-124, 0.0, 0.0, 0.0]",0.058179347931553604,0.0012393970015712615
5,"['sqft_living', 'view', 'grade', 'yr_built', 'lat']",101.6665485538108,0.7455791390572543,0.7455054861128083,"[0.0, 3.302006071730361e-180, 0.0, 0.0, 0.0]",0.057827597400044596,0.0011391006450805403
6,"['bedrooms', 'sqft_living', 'view', 'grade', 'yr_built', 'lat']",138.64200746347646,0.746403443541446,0.7463153412631977,"[1.3751124571831085e-13, 0.0, 2.0265977623151263e-172, 0.0, 0.0, 0.0]",0.057733838344944464,0.0011392825944469235
6,"['bathrooms', 'sqft_living', 'waterfront', 'grade', 'yr_built', 'lat']",125.87146024864833,0.7474412597203959,0.7473535179881973,"[3.814486931398599e-71, 0.0, 1.8897040429925263e-123, 0.0, 0.0, 0.0]",0.05761557506250501,0.001317581619008748
